name,countries,categories,currency,denominations,discount,expiry,url
"Sony Playstation UK","GB","gaming","GBP","10; 20; 40; 50; 70; 100; 120; 150; 200","7","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sony-psn-uk.jpg"
"myMuesli Germany","DE","food-and-drink","EUR","10; 15; 25; 44; 50","8","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/mymuesli-de.jpg"
"Currys B2B","GB","electronics; home","GBP","10; 20; 25; 30; 40; 50; 60; 90; 100; 200; 500","6","24 Months from last use","https://assets.tillo.io/images/brands/vouchers/330x214/currys-b2b.jpg"
"Rituals UK","GB","beauty; home","GBP","10; 25; 50; 100","10","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/rituals-uk.jpg"
"Global Hotel Card","GB","travel-and-leisure","GBP","50; 100; 250; 500; 1000","10","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/global-hotel-card.jpg"
"Sephora Spain","ES","beauty","EUR","25; 50; 100","5","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sephora-es.jpg"
"Jet2Holidays by Inspire","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000","6","18 months from date of issue","https://assets.tillo.io/images/brands/vouchers/330x214/inspire-jet2holidays.jpg"
"Bloom & Wild","GB","home","GBP","10; 20; 30; 50; 100","13","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/bloom-and-wild-uk.jpg"
"Share Now Germany","DE","cars","EUR","15; 25; 50; 100","7","2 years","https://assets.tillo.io/images/brands/vouchers/330x214/share-now-de.jpg"
"FlixBus Italy","IT","travel-and-leisure","EUR","10; 25; 50; 100","6","6 Months","https://assets.tillo.io/images/brands/vouchers/330x214/flixbus-it.jpg"
"HelpDirect Germany","DE","charity","EUR","10; 15; 20; 50","9","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/helpdirect-de.jpg"
"Abbonamenti.it","IT","","EUR","20; 30","7","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/abbonamenti-it.jpg"
"Circle K No Fuel Latvia","LV","food-and-drink; supermarket","EUR","25; 50; 100; 250; 500; 1000","5","24 Months","https://assets.tillo.io/images/brands/vouchers/330x214/circle-k-no-fuel-latvia.jpg"
"Martinelli Supermercati Italy","IT","supermarket","EUR","25; 50; 100","1.5","6 months","https://assets.tillo.io/images/brands/vouchers/330x214/martinelli-supermercati-it.jpg"
"Google Play Germany","DE","books; gaming; music","EUR","10; 15; 20; 25; 30; 35; 40; 44; 45; 50; 55; 60; 65; 70; 75; 80; 85; 90; 95; 100; 150; 200; 250; 300; 350; 400; 450; 500","3.5","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/google-play-de.jpg"
"Cornerstone","GB","beauty","GBP","20; 25; 30","9","12 months from issue","https://assets.tillo.io/images/brands/vouchers/330x214/cornerstone.jpg"
"YOVITE Germany","DE","food-and-drink","EUR","20; 30; 50","9","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/yovite-de.jpg"
"IKEA Netherlands","NL","","EUR","50; 100; 250; 500","4","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/ikea-nl.jpg"
"Ask Italian","GB","food-and-drink","GBP","10; 25; 50; 100","9","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/ask-italian.jpg"
"lastminute.com Flight Gift Card Spain","ES","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000","2","12 months from Activation","https://assets.tillo.io/images/brands/vouchers/330x214/flight-gift-card-es.jpg"
