name,countries,categories,currency,denominations,discount,expiry,url
"Philips Hue Germany","DE","electronics; home","EUR","15; 25; 50; 100; 150",13,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/philips-hue-de.jpg"
"BAUR Germany","DE","fashion; jewellery","EUR","10; 15; 25; 50; 100",4,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/baur-de.jpg"
"Purelei Germany","DE","fashion; jewellery","EUR","15; 20; 25; 50; 100",5,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/purelei-de.jpg"
"ToursGift","GB","travel-and-leisure","GBP","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"12 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/toursgift.jpg"
"Lindt Germany","DE","food-and-drink","EUR","15; 20; 25; 50",14,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/lindt-de.jpg"
"IKEA Germany","DE","home","EUR","10; 15; 20; 25; 30; 40; 44; 50; 100; 200; 500",7,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/ikea-de.jpg"
"TripGift","GB","travel-and-leisure","GBP","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"12 months from first use for GBP & EUR & 60 months from first use for USD","https://assets.tillo.io/images/brands/vouchers/330x214/tripgift.jpg"
"Smartbox Italy","IT","travel-and-leisure","EUR","25; 50; 100",11,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/smartbox-it.jpg"
"Despar Italy","IT","supermarket","EUR","10; 20; 50; 100",2,"6 months","https://assets.tillo.io/images/brands/vouchers/330x214/despar-it.jpg"
"Roadhouse Italy","IT","","EUR","25; 50; 100",6,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/roadhouse-it.jpg"
"TortenPrima Germany","DE","food-and-drink","EUR","10; 15; 20; 50",14,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/tortenprima-de.jpg"
"Louis Motorrad Germany","DE","cars; sports","EUR","10; 25; 44; 50; 100",9,"20 months","https://assets.tillo.io/images/brands/vouchers/330x214/louis-motorrad-de.jpg"
"FNAC Portugal","PT","department-store","EUR","10; 50; 100",0.5,"12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/fnac-pt.jpg"
"Bennet Italy","IT","supermarket","EUR","10; 25; 50; 100",3,"18 months","https://assets.tillo.io/images/brands/vouchers/330x214/bennet-it.jpg"
"Salmoiraghi & Vigano' Italy","IT","fashion","EUR","10; 25; 50; 100; 150",5,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/salmoiraghi-and-vigano-it.jpg"
"MediaWorld Italy","IT","electronics","EUR","10; 20; 25; 50; 100; 200",1,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/mediaworld-it.jpg"
"Rituals France","FR","beauty; home","EUR","10; 25; 50; 100",10,"No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/rituals-fr.jpg"
"Deliveroo Italy","IT","food-and-drink","EUR","25; 50; 100",5,"12 months from activation. Must redeem AND spend by expiry.","https://assets.tillo.io/images/brands/vouchers/330x214/deliveroo-it.jpg"
"Aral Germany","DE","cars","EUR","10; 15; 20; 25; 44; 50; 100",0.5,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/aral-de.jpg"
"Dots.eco - Buy 10 sqf of Land for Nature Reserve EUR","IE; AT; BE; HR; CY; EE; FI; FR; DE; GR; IT; LV; LT; LU; MT; NL; PT; SK; SI; ES","charity","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",31,"N/A","https://assets.tillo.io/images/brands/vouchers/330x214/buy-land-for-nature-reserve-eur.jpg"
"GALP Portugal","PT","other","EUR","10; 15; 20; 30",0.5,"12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/galp-pt.jpg"
"Loveco Germany","DE","fashion; jewellery","EUR","10; 15; 25; 50",9,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/loveco-de.jpg"
"Milano","IE","food-and-drink","EUR","10; 25; 50; 100; 250; 500",9,"5 years","https://assets.tillo.io/images/brands/vouchers/330x214/milano.jpg"
"Thuisbezorgd","NL","food-and-drink","EUR","10; 25; 50; 100",5.5,"12 months after purchase","https://assets.tillo.io/images/brands/vouchers/330x214/just-eat-nl.jpg"
"babymarkt Germany","DE","fashion; jewellery","EUR","10; 15; 25; 50; 100",6,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/babymarkt-de.jpg"
"Intimissimi Italy","IT","fashion","EUR","30; 50; 70; 100",4,"36 months from purchase","https://assets.tillo.io/images/brands/vouchers/330x214/intimissimi.jpg"
"Great British Pub","GB","food-and-drink","GBP","10; 25; 50; 100; 250",10,"1 year from last use","https://assets.tillo.io/images/brands/vouchers/330x214/gb-pub.jpg"
"Jacques Wein-Depot Germany","DE","food-and-drink","EUR","10; 15; 20; 25; 44; 50",14,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/jacques-wein-depot-de.jpg"
"eLearnGift","GB","other","GBP","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"12 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/elearngift.jpg"
"lastminute.com Holiday Gift Card UK","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000",5,"12 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/holiday-gift-card-uk.jpg"
"Iper Italy","IT","supermarket","EUR","10; 25; 50; 100; 150; 200",3,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/iper-it.jpg"
"eLearnGift DE","DE","","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"3 years from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/elearngift-de.jpg"
"Deliveroo Belgium","BE","food-and-drink","EUR","25; 50; 100",5,"12 months from activation. Must redeem AND spend by expiry.","https://assets.tillo.io/images/brands/vouchers/330x214/deliveroo-be.jpg"
